user_id,d_o_w,hour,day_part,location,calendar_active,calendar_event,contacts_count,pref_place,pref_calendar_event,pref_contacts,reminder
u_067199,1,13,Early Afternoon,church,0,none,0,0,0,0,0
u_016749,6,14,Early Afternoon,home_goods_store,0,none,1,0,0,0,0
u_019799,2,9,Morning,movie_rental,1,Armed Forces Day,2,0,0,0,1
u_187482,4,12,Noon or Midday,hospital,1,Leif Erikson Day,4,0,0,1,1
u_101768,6,11,Late Morning,hospital,1,Sports Game,1,0,0,0,1
u_068449,5,11,Late Morning,pet_store,1,Feast of the Immaculate Conception,0,1,0,0,1
u_106140,5,10,Late Morning,courthouse,1,Feast of St. Francis of Assisi,0,0,0,0,0
u_032876,4,20,Evening,transit_station,0,none,0,0,0,0,0
u_103704,3,15,Afternoon,liquor_store,1,Bill of Rights Day,0,0,0,0,0
u_036626,4,11,Late Morning,car_rental,1,New Year’s Eve,5,1,0,0,1
u_025436,1,19,Early Evening,local_government_office,1,Flight,0,1,0,0,1
u_184663,3,15,Afternoon,store,1,Car Rental,0,0,1,0,1
u_140909,1,19,Early Evening,stadium,1,Class,2,0,0,0,1
u_041938,2,10,Late Morning,shopping_mall,1,Evacuation Day,0,0,0,0,0
u_184880,5,18,Dusk,post_office,0,none,0,0,0,0,0
u_077152,6,8,Morning,doctor,1,Booster,0,1,1,0,1
u_106613,1,11,Late Morning,school,0,none,1,0,0,0,0
u_092951,0,20,Evening,cafe,1,Car Rental,1,1,1,0,1
u_072747,4,18,Dusk,plumber,1,Juneteenth,1,1,0,0,1
u_022339,2,12,Noon or Midday,aquarium,1,Marine Corps Birthday,1,0,0,0,1
u_102630,2,4,Night,airport,1,Flag Day,0,0,0,0,0
u_000732,6,18,Dusk,furniture_store,0,none,3,0,0,1,1
u_144090,2,23,Night,transit_station,0,none,2,0,0,0,0
u_008877,0,15,Afternoon,taxi_stand,1,Juneteenth,1,0,0,0,0
u_186664,5,17,Late Afternoon,hindu_temple,1,Lecture,0,0,0,1,1
u_099588,5,3,Night,hospital,1,Booster,2,1,0,0,1
u_127081,3,20,Evening,dentist,0,none,0,0,0,0,0
u_197179,6,11,Late Morning,school,0,none,4,0,0,0,0
u_039514,4,13,Early Afternoon,campground,0,none,10,0,0,0,1
u_197846,2,17,Late Afternoon,electronics_store,1,Mardi Gras,1,1,1,0,1
u_065763,1,19,Early Evening,supermarket,1,Flag Day,6,0,0,0,1
u_010176,4,16,Afternoon,car_wash,1,Renewal,10,0,0,0,1
u_005875,5,20,Evening,cemetery,1,Susan B. Anthony’s Birthday,10+,0,0,0,1
u_159761,4,8,Morning,beauty_salon,1,Midterm,5,1,1,0,1
u_114822,0,20,Evening,fire_station,1,Idaho Human Rights Day,3,0,0,0,1
u_186031,0,11,Late Morning,secondary_school,1,St. Patrick’s Day,1,0,0,1,1
u_051167,0,20,Evening,atm,1,Black History Month,1,0,1,0,1
u_187734,0,17,Late Afternoon,doctor,1,American Indian Heritage Day,2,1,0,0,1
u_159700,0,22,Night,stadium,0,none,4,0,0,1,1
u_041367,6,17,Late Afternoon,post_office,1,Feast of St. Francis of Assisi,0,0,0,0,1
u_019395,5,16,Afternoon,clothing_store,1,Feast of the Immaculate Conception,3,0,0,0,1
u_119162,4,16,Afternoon,doctor,1,Hotel,0,1,0,1,1
u_022980,0,16,Afternoon,locksmith,0,none,9,0,0,0,1
u_190181,4,17,Late Afternoon,mosque,0,none,5,0,0,0,1
u_193022,6,11,Late Morning,storage,1,National Parents’ Day,0,0,0,0,0
u_013444,1,14,Early Afternoon,parking,1,St. Nicholas’ Day,3,1,0,0,1
u_131430,5,17,Late Afternoon,hindu_temple,1,San Jacinto Day,0,0,0,0,1
u_166386,1,8,Morning,supermarket,1,Valentine’s Day,1,0,0,0,1
u_088296,0,9,Morning,zoo,1,Indigenous Peoples’ Day,0,0,0,0,0
u_047540,3,16,Afternoon,courthouse,0,none,1,0,0,1,1
u_135676,3,11,Late Morning,moving_company,0,none,10+,0,0,1,1
u_158898,6,20,Evening,jewelry_store,1,Lei Day,0,0,0,0,0
u_012023,2,9,Morning,cafe,1,Wedding,2,0,0,0,1
u_158772,4,9,Morning,light_rail_station,0,none,1,0,0,0,0
u_022382,4,17,Late Afternoon,hospital,1,Interview,0,0,0,0,0
u_010417,4,10,Late Morning,electronics_store,0,none,1,1,0,0,1
u_104363,4,11,Late Morning,car_dealer,0,none,0,1,0,0,1
u_143722,4,14,Early Afternoon,bicycle_store,1,Feast of the Immaculate Conception,0,0,0,0,1
u_090619,3,8,Morning,hindu_temple,1,Father’s Day,10+,1,1,0,1
