iter	Passed	Remaining
0	133	66838
1	195	48662
2	254	42142
3	315	39131
4	383	37955
5	445	36703
6	511	35990
7	572	35238
8	631	34454
9	692	33923
10	756	33610
11	815	33178
12	878	32927
13	944	32776
14	1007	32569
15	1067	32290
16	1129	32087
17	1188	31820
18	1245	31531
19	1304	31316
20	1371	31287
21	1428	31031
22	1491	30930
23	1550	30748
24	1606	30529
25	1663	30326
26	1721	30152
27	1780	30010
28	1836	29823
29	1893	29659
30	1948	29483
31	2011	29416
32	2072	29329
33	2128	29168
34	2187	29068
35	2244	28923
36	2304	28843
37	2370	28823
38	2431	28742
39	2488	28613
40	2548	28525
41	2602	28381
42	2658	28249
43	2714	28132
44	2770	28008
45	2829	27929
46	2892	27878
47	2950	27780
48	3009	27699
49	3066	27599
50	3135	27605
51	3204	27609
52	3267	27554
53	3327	27482
54	3395	27476
55	3459	27429
56	3517	27335
57	3579	27276
58	3638	27195
59	3697	27116
60	3753	27011
61	3795	26815
62	3855	26746
63	3912	26656
64	3972	26584
65	4030	26505
66	4091	26443
67	4148	26356
68	4210	26299
69	4267	26212
70	4301	25991
71	4359	25915
72	4422	25870
73	4482	25803
74	4537	25711
75	4595	25638
76	4651	25554
77	4710	25487
78	4737	25245
79	4792	25158
80	4859	25136
81	4921	25087
82	4977	25005
83	5040	24964
84	5104	24922
85	5162	24850
86	5217	24769
87	5280	24723
88	5335	24641
89	5406	24630
90	5481	24638
91	5541	24574
92	5602	24520
93	5664	24464
94	5725	24410
95	5782	24334
96	5841	24270
97	5901	24209
98	5961	24148
99	6020	24082
100	6076	24006
101	6137	23947
102	6193	23870
103	6256	23821
104	6313	23749
105	6374	23693
106	6442	23661
107	6505	23613
108	6563	23544
109	6630	23506
110	6693	23458
111	6749	23380
112	6803	23301
113	6862	23235
114	6918	23160
115	6978	23099
116	7014	22962
117	7079	22917
118	7139	22859
119	7200	22800
120	7260	22740
121	7322	22687
122	7382	22627
123	7416	22489
124	7488	22464
125	7541	22384
126	7604	22333
127	7692	22356
128	7760	22318
129	7818	22252
130	7876	22186
131	7933	22117
132	7994	22059
133	8054	21999
134	8117	21947
135	8174	21880
136	8230	21806
137	8289	21744
138	8316	21599
139	8377	21541
140	8434	21476
141	8493	21413
142	8534	21307
143	8590	21238
144	8645	21166
145	8671	21024
146	8726	20955
147	8784	20893
148	8838	20821
149	8894	20752
150	8957	20703
151	9017	20644
152	9078	20589
153	9136	20526
154	9197	20471
155	9258	20416
156	9318	20358
157	9384	20313
158	9447	20260
159	9519	20229
160	9582	20177
161	9652	20139
162	9697	20049
163	9760	19996
164	9819	19936
165	9885	19890
166	9956	19854
167	10017	19797
168	10052	19688
169	10112	19629
170	10174	19575
171	10233	19514
172	10289	19449
173	10346	19385
174	10402	19318
175	10461	19258
176	10531	19218
177	10591	19159
178	10647	19093
179	10705	19032
180	10775	18990
181	10831	18926
182	10890	18865
183	10950	18806
184	11006	18740
185	11063	18677
186	11122	18616
187	11179	18553
188	11234	18486
189	11288	18418
190	11315	18306
191	11373	18245
192	11429	18180
193	11487	18120
194	11554	18072
195	11614	18014
196	11670	17949
197	11735	17899
198	11795	17841
199	11864	17796
200	11921	17734
201	11986	17682
202	12049	17628
203	12106	17566
204	12191	17544
205	12252	17486
206	12308	17422
207	12368	17364
208	12432	17310
209	12492	17250
210	12550	17189
211	12608	17128
212	12664	17064
213	12719	16999
214	12782	16944
215	12837	16878
216	12895	16818
217	12954	16757
218	13014	16699
219	13072	16637
220	13138	16587
221	13195	16524
222	13257	16467
223	13320	16412
224	13387	16362
225	13447	16304
226	13513	16252
227	13592	16215
228	13657	16162
229	13719	16106
230	13785	16052
