feature,importance
cat__d_o_w_0,0.000567196189569294
cat__d_o_w_1,0.0006889962403600118
cat__d_o_w_2,0.0005110053017015254
cat__d_o_w_3,0.0005308005710545518
cat__d_o_w_4,0.000548220504410891
cat__d_o_w_5,0.0005216000992196812
cat__d_o_w_6,0.0003983415108823317
cat__day_part_Afternoon,0.0015768742498545817
cat__day_part_Dawn,0.0003263346849843845
cat__day_part_Dusk,0.0004305475809824829
cat__day_part_Early Afternoon,0.0014474552849062625
cat__day_part_Early Evening,0.0010338643985667731
cat__day_part_Early Morning,0.0005824792640713689
cat__day_part_Evening,0.0006558065235098618
cat__day_part_Late Afternoon,0.0015574616823735515
cat__day_part_Late Evening,0.0001116233266515986
cat__day_part_Late Morning,0.005066452005826657
cat__day_part_Midnight,0.00010540390058435518
cat__day_part_Morning,0.006561542804177988
cat__day_part_Night,0.0014571263685194133
cat__day_part_Noon or Midday,0.001698943316704972
cat__location_accounting,0.0001381902713390394
cat__location_airport,0.0007669191764513955
cat__location_amusement_park,0.0024466116885780466
cat__location_aquarium,0.003852111253605142
cat__location_art_gallery,0.0029159077017312444
cat__location_atm,0.00014539231481064884
cat__location_bakery,0.00018145491186017268
cat__location_bank,0.00019535554946267016
cat__location_bar,0.001975004518794306
cat__location_beauty_salon,0.00019761896569659693
cat__location_bicycle_store,9.978552768564231e-05
cat__location_book_store,0.00015424153594573582
cat__location_bowling_alley,9.659616259066438e-05
cat__location_bus_station,0.0007655652097445519
cat__location_cafe,0.00031867317881131965
cat__location_campground,0.00011888074088068826
cat__location_car_dealer,0.0003035121012808176
cat__location_car_rental,0.00015273944015501177
cat__location_car_repair,0.00011581507357575122
cat__location_car_wash,0.0002162576774384181
cat__location_casino,5.541476523871995e-05
cat__location_cemetery,0.002107345170005481
cat__location_church,0.00012392992928737898
cat__location_city_hall,0.00010749469302569545
cat__location_clothing_store,0.00014226873534087015
cat__location_convenience_store,0.00015069791221981936
cat__location_courthouse,0.00034800187449102524
cat__location_dentist,0.0002442541969315893
cat__location_department_store,0.00014261966791698913
cat__location_doctor,0.00020160872552715632
cat__location_drugstore,0.00016081375609147363
cat__location_electrician,4.5130753269193504e-05
cat__location_electronics_store,0.0002436216723086858
cat__location_embassy,6.268947257551772e-05
cat__location_fire_station,0.00025894839810479024
cat__location_florist,0.00035816468947884637
cat__location_funeral_home,0.00038025035942309936
cat__location_furniture_store,0.00015294734835718298
cat__location_gas_station,0.00018883126110694665
cat__location_gym,0.0003089250845458065
cat__location_hair_care,0.00013852386966039872
cat__location_hardware_store,4.5159308551954365e-05
cat__location_hindu_temple,0.00028438760111878917
cat__location_home_goods_store,7.329613565988136e-05
cat__location_hospital,0.002665353707981426
cat__location_insurance_agency,0.0001739936681913269
cat__location_jewelry_store,0.00016306119851328796
cat__location_laundry,0.00015369499280049918
cat__location_lawyer,8.069954480566164e-05
cat__location_library,0.0002315502241027876
cat__location_light_rail_station,0.00013633489123979757
cat__location_liquor_store,0.00031830259167413505
cat__location_local_government_office,0.00019881221428044688
cat__location_locksmith,0.0001474294145315425
cat__location_lodging,0.00012215746393314916
cat__location_meal_delivery,0.00013595055922397043
cat__location_meal_takeaway,0.0001323179283422666
cat__location_mosque,0.00011582922741514266
cat__location_movie_rental,0.0001389380074111586
cat__location_movie_theater,0.0004300222116702614
cat__location_moving_company,0.00012608045918136964
cat__location_museum,0.00273937250690502
cat__location_night_club,0.001976095661078141
cat__location_painter,7.942469325513164e-05
cat__location_park,0.00201075976935102
cat__location_parking,9.149224509210359e-05
cat__location_pet_store,4.923801534907949e-05
cat__location_pharmacy,0.00015622040793403867
cat__location_physiotherapist,0.0001665286382517249
cat__location_plumber,0.0002323961303533304
cat__location_police,8.984333393680236e-05
cat__location_post_office,0.0001215684235804051
cat__location_primary_school,0.0009710859202788323
cat__location_real_estate_agency,0.00013610609516105852
cat__location_restaurant,0.003475051121256175
cat__location_roofing_contractor,0.00020733725594156963
cat__location_rv_park,0.00020998137275793488
cat__location_school,0.0009686251089169819
cat__location_secondary_school,0.0007716538163060967
cat__location_shoe_store,0.00015529543322020318
cat__location_shopping_mall,0.00016931035734815174
cat__location_spa,0.00011138827748777111
cat__location_stadium,0.00259474886788573
cat__location_storage,0.0001684452894336833
cat__location_store,0.0002297903192438793
cat__location_subway_station,0.0005232495010747909
cat__location_supermarket,7.341750435432351e-05
cat__location_synagogue,0.00015099678312586307
cat__location_taxi_stand,0.00023009095687689948
cat__location_tourist_attraction,0.002543851196297324
cat__location_train_station,0.00043453434573709443
cat__location_transit_station,0.00042424066149441853
cat__location_travel_agency,5.743746689767064e-05
cat__location_university,0.0020230088611625017
cat__location_veterinary_care,0.00028088187590827687
cat__location_zoo,8.656425321137642e-05
cat__calendar_event_America Recycles Day,0.0001019026107042209
cat__calendar_event_American Indian Heritage Day,4.6908823593188764e-05
cat__calendar_event_Anniversary,0.0006828271946944918
cat__calendar_event_Armed Forces Day,0.00010729578769299683
cat__calendar_event_Bastille Day,6.0010845235385504e-05
cat__calendar_event_Bennington Battle Day,2.401610644275824e-05
cat__calendar_event_Bill of Rights Day,0.00013242258961636714
cat__calendar_event_Birthday,0.0006676094931218264
cat__calendar_event_Black Friday,0.00010980835827708917
cat__calendar_event_Black History Month,0.0001509509420848603
cat__calendar_event_Booster,6.6933294747459e-05
cat__calendar_event_Brunch,0.0001496580158487607
cat__calendar_event_Bunker Hill Day,5.6881963476248795e-05
cat__calendar_event_Car Rental,0.00015347318861441334
cat__calendar_event_Checkup,5.639517357994726e-05
cat__calendar_event_Cinco de Mayo,0.00010899992088027155
cat__calendar_event_Class,3.996878775811263e-05
cat__calendar_event_Columbus Day,2.404375906857041e-05
cat__calendar_event_Concert,0.00047561809219323576
cat__calendar_event_Constitution Day and Citizenship Day,0.000349150341535792
cat__calendar_event_Counseling,0.0001539429725928267
cat__calendar_event_Cyber Monday,0.00014253160941369002
cat__calendar_event_César Chávez Day,2.2679365577925614e-06
cat__calendar_event_Day After Christmas Day,5.216585490473015e-05
cat__calendar_event_Day After Thanksgiving,2.2308098798164908e-05
cat__calendar_event_Dentist Appointment,7.305744564346798e-05
cat__calendar_event_Dinner,0.000972503720392967
cat__calendar_event_Doctor Appointment,4.485901136985895e-05
cat__calendar_event_Easter,6.451277171255539e-05
cat__calendar_event_Emancipation Day,6.492460871598019e-05
cat__calendar_event_Engagement,0.000715023319879958
cat__calendar_event_Evacuation Day,3.801361801689808e-05
cat__calendar_event_Family Day,8.604210508171885e-05
cat__calendar_event_Father’s Day,0.0004669326911938827
cat__calendar_event_Feast of Our Lady of Guadalupe,8.804162095880536e-05
cat__calendar_event_Feast of St. Francis of Assisi,2.0772702405969784e-05
cat__calendar_event_Feast of the Immaculate Conception,2.239568358719999e-05
cat__calendar_event_Final,3.732415415336982e-05
cat__calendar_event_Flag Day,0.00010431353935110344
cat__calendar_event_Flight,0.00015851834103960188
cat__calendar_event_Funeral,4.511124448103223e-05
cat__calendar_event_Graduation,0.0005307875193527652
cat__calendar_event_Groundhog Day,4.09385376020824e-05
cat__calendar_event_Gym,5.914330754211929e-05
cat__calendar_event_Halloween,9.136484141109148e-05
cat__calendar_event_Hotel,2.2725282951042178e-05
cat__calendar_event_Idaho Human Rights Day,0.00012081324771351444
cat__calendar_event_Inauguration Day,5.792427546856658e-05
cat__calendar_event_Independence Day,0.00043731240556649497
